"OriginalTaxonNo" "ResolvedTaxonNo" "TaxonName" "TaxonRank" "ParentTaxonNo" "TaxonValidity" "AcceptedNumber" "AcceptedName"
"200" NA "txn:54856" "Chilenochonetes anna" "3" NA NA NA NA
"201" NA "txn:55007" "Orthancanthidae" "9" NA NA NA NA
"202" NA "txn:55035" "Xerobates agassizii" "3" NA NA NA NA
"203" NA "txn:55041" "Didelphis brunii" "3" NA NA NA NA
"204" NA "txn:55267" "Gorgonid banmiti" "3" NA NA NA NA
"205" NA "txn:55268" "Gorgonid" "5" NA NA NA NA
"206" NA "txn:55269" "Democricetodon darocensis" "3" NA NA NA NA
"207" NA "txn:55342" "Wardiaphyllum" "5" NA NA NA NA
"208" NA "txn:55404" "Pteridophyllaceae" "5" NA NA NA NA
"209" NA "txn:55508" "Onoclea minima" "3" NA NA NA NA
"210" NA "txn:55511" "Sequoia langsdorfii" "3" NA NA NA NA
"211" NA "txn:55513" "Phragmites falcata" "3" NA NA NA NA
"212" NA "txn:55516" "Geonomites schimperi" "3" NA NA NA NA
"213" NA "txn:55518" "Myrica bolanderi" "3" NA NA NA NA
"214" NA "txn:55520" "Quercus ellisiana" "3" NA NA NA NA
"215" NA "txn:55521" "Malapoenna weediana" "3" NA NA NA NA
"216" NA "txn:55523" "Paliurus minimus" "3" NA NA NA NA
"217" NA "txn:55525" "Paliurus zizyphoides" "3" NA NA NA NA
"218" NA "txn:55548" "Dombeyopsis platanoides" "3" NA NA NA NA
"219" NA "txn:55550" "Andromeda grayana" "3" NA NA NA NA
"220" NA "txn:55552" "Trapa microphylla" "3" NA NA NA NA
"221" NA "txn:55553" "Diospyros stenosepala" "3" NA NA NA NA
"222" NA "txn:55554" "Fraxinus denticulata" "3" NA NA NA NA
"223" NA "txn:55555" "Viburnum rotundifolium" "3" NA NA NA NA
"224" NA "txn:55556" "Woodwardia preareolata" "3" NA NA NA NA
"225" NA "txn:55558" "Asplenium iddingsi" "3" NA NA NA NA
"226" NA "txn:55559" "Asplenium erosum" "3" NA NA NA NA
"227" NA "txn:55560" "Asplenium remotidens" "3" NA NA NA NA
"228" NA "txn:55561" "Dryopteris weedii" "3" NA NA NA NA
"229" NA "txn:55563" "Dryopteris xantholithense" "3" NA NA NA NA
"230" NA "txn:55564" "Devallia montana" "3" NA NA NA NA
"231" NA "txn:55566" "Osmunda affinis" "3" NA NA NA NA
"232" NA "txn:55567" "Equisetum haguei" "3" NA NA NA NA
"233" NA "txn:55568" "Equisetum lesquereuxii" "3" NA NA NA NA
"234" NA "txn:55569" "Equisetum canaliculatum" "3" NA NA NA NA
"235" NA "txn:55570" "Equisetum deciduum" "3" NA NA NA NA
"236" NA "txn:55588" "Solemdidae" "9" NA NA NA NA
"237" NA "txn:55838" "Convallariaceae" "5" NA NA NA NA
"238" NA "txn:55874" "Equisetum fluviatoides" "3" NA NA NA NA
"239" NA "txn:55875" "Dennstaedtia americana" "3" NA NA NA NA
"240" NA "txn:55877" "Dennastra sorimarginata" "3" NA NA NA NA
"241" NA "txn:55881" "Azolla vellus" "3" NA NA NA NA
"242" NA "txn:55882" "Ginkgo spitzbergensis" "3" NA NA NA NA
"243" NA "txn:55883" "Elatocladus cordillara" "3" NA NA NA NA
"244" NA "txn:55885" "Glyptostrobus nordenskioldii" "3" NA NA NA NA
"245" NA "txn:55886" "Fokienia ravenscragensis" "3" NA NA NA NA
"246" NA "txn:55888" "Mesocyparis borealis" "3" NA NA NA NA
"247" NA "txn:55890" "Pistia corrugata" "3" NA NA NA NA
"248" NA "txn:55892" "Spirodela scutata" "3" NA NA NA NA
"249" NA "txn:55894" "Myristica catahoulensis" "3" NA NA NA NA
"250" NA "txn:55901" "Trochodendroides speciosa" "3" NA NA NA NA
"251" NA "txn:55902" "Nyssidium arcticum" "3" NA NA NA NA
"252" NA "txn:55904" "Platanites canadensis" "3" NA NA NA NA
"253" NA "txn:55906" "Rorippides aquatica" "3" NA NA NA NA
"254" NA "txn:55915" "Myrciophyllum americanum" "3" NA NA NA NA
